timestamp,ctxt_s,pgfault_s,pgmajfault_s,pgscan_kswapd_s,pgscan_direct_s,pgsteal_kswapd_s,pgsteal_direct_s,allocstall_s,compact_stall_s,tlb_shootdown_s,nr_dirty,nr_writeback,pswpin_s,pswpout_s,wset_refault_anon_s,wset_refault_file_s,thp_fault_fallback_s
1773644464.599,38744,10933,3,0,0,0,0,0.0,0.0,0,186,0,0,0,0,0,0
1773644465.627,37267,8376,0,0,0,0,0,0.0,0.0,0,187,0,0,0,0,0,0
1773644466.649,38358,13428,0,0,0,0,0,0.0,0.0,0,172,0,0,0,0,0,0
1773644467.670,43267,16524,0,0,0,0,0,0.0,0.0,0,174,0,0,0,0,0,0
1773644468.693,39425,8229,0,0,0,0,0,0.0,0.0,0,191,0,0,0,0,0,0
1773644469.716,40392,8270,0,0,0,0,0,0.0,0.0,0,192,0,0,0,0,0,0
1773644470.744,45771,24760,0,0,0,0,0,0.0,0.0,0,195,0,0,0,0,0,0
1773644471.765,38639,8766,0,0,0,0,0,0.0,0.0,0,197,0,0,0,0,0,0
1773644472.787,37430,8272,0,0,0,0,0,0.0,0.0,0,206,0,0,0,0,0,0
1773644473.808,37706,4825,0,0,0,0,0,0.0,0.0,0,207,0,0,0,0,0,0
1773644474.831,38879,12204,0,0,0,0,0,0.0,0.0,0,229,0,0,0,0,0,0
1773644475.859,28660,14408,0,0,0,0,0,0.0,0.0,0,230,0,0,0,0,0,0
1773644476.881,18068,9100,0,0,0,0,0,0.0,0.0,0,232,0,0,0,0,0,0
1773644477.902,11507,8472,0,0,0,0,0,0.0,0.0,0,234,0,0,0,0,0,0
1773644478.924,12813,10821,1,0,0,0,0,0.0,0.0,0,237,0,0,0,0,0,0
1773644479.947,8879,8259,0,0,0,0,0,0.0,0.0,0,172,0,0,0,0,0,0
1773644480.974,87794,19752,0,0,0,0,0,0.0,0.0,0,176,0,0,0,0,0,0
1773644481.996,446518,79989,0,0,0,0,0,0.0,0.0,0,181,0,0,0,0,0,0
1773644483.019,379171,92280,0,0,0,0,0,0.0,0.0,0,183,0,0,0,0,0,0
1773644484.041,459416,18922,0,0,0,0,0,0.0,0.0,0,184,0,0,0,0,0,0
1773644485.065,348632,102445,0,0,0,0,0,0.0,0.0,0,187,0,0,0,0,0,0
1773644486.091,303056,111627,0,0,0,0,0,0.0,0.0,0,190,0,0,0,0,0,0
1773644487.114,434670,19622,0,0,0,0,0,0.0,0.0,0,192,0,0,0,0,0,0
1773644488.138,378669,20654,0,0,0,0,0,0.0,0.0,0,147,0,0,0,0,0,0
1773644489.161,328715,97898,0,0,0,0,0,0.0,0.0,0,180,0,0,0,0,0,0
1773644490.183,27173,288780,0,0,0,0,0,0.0,0.0,0,182,0,0,0,0,0,0
1773644491.210,247332,69040,0,0,0,0,0,0.0,0.0,0,184,0,0,0,0,0,0
1773644492.232,31116,27090,147,0,0,0,0,0.0,0.0,0,190,0,0,0,0,0,0
1773644493.250,8430,12030,0,0,0,0,0,0.0,0.0,0,202,0,0,0,0,0,0
1773644494.267,12448,9127,0,0,0,0,0,0.0,0.0,0,76,0,0,0,0,0,0
1773644495.285,13723,16634,0,0,0,0,0,0.0,0.0,0,78,0,0,0,0,0,0
1773644496.309,8528,14100,0,0,0,0,0,0.0,0.0,0,105,0,0,0,0,0,0
1773644497.329,13116,58177,0,0,0,0,0,0.0,0.0,0,82,0,0,0,0,0,0
1773644498.377,11524,44594,0,0,0,0,0,0.0,0.0,0,70,0,0,0,0,0,0
1773644499.397,12518,9758,0,0,0,0,0,0.0,0.0,0,102,0,0,0,0,0,0
1773644500.420,4775,10415,0,0,0,0,0,0.0,0.0,0,104,0,0,0,0,0,0
1773644501.443,2272,3852,0,0,0,0,0,0.0,0.0,0,105,0,0,0,0,0,0
1773644502.462,3477,8461,0,0,0,0,0,0.0,0.0,0,107,0,0,0,0,0,0
1773644503.484,3777,3859,0,0,0,0,0,0.0,0.0,0,110,0,0,0,0,0,0
1773644504.502,1974,4328,0,0,0,0,0,0.0,0.0,0,153,0,0,0,0,0,0
1773644505.521,10633,8970,0,0,0,0,0,0.0,0.0,0,154,0,0,0,0,0,0
1773644506.547,10297,4408,0,0,0,0,0,0.0,0.0,0,155,0,0,0,0,0,0
1773644507.568,9536,4372,0,0,0,0,0,0.0,0.0,0,158,0,0,0,0,0,0
1773644508.587,102234,210625,3,0,0,0,0,0.0,0.0,0,7322,0,0,0,0,0,0
1773644509.607,111152,676069,0,0,0,0,0,0.0,0.0,0,14415,0,0,0,0,0,0
1773644510.627,60591,422774,0,0,0,0,0,0.0,0.0,0,19092,0,0,0,0,0,0
1773644511.658,5341,14239,0,0,0,0,0,0.0,0.0,0,18932,0,0,0,0,0,0
1773644512.682,3611,3979,0,0,0,0,0,0.0,0.0,0,18930,0,0,0,0,0,0
1773644513.705,13254,96672,0,0,0,0,0,0.0,0.0,0,19553,0,0,0,0,0,0
1773644514.732,100067,700730,0,0,0,0,0,0.0,0.0,0,27811,0,0,0,0,0,0
1773644515.756,149638,983425,0,0,0,0,0,0.0,0.0,0,38061,0,0,0,0,0,0
1773644516.782,178013,1201566,0,0,0,0,0,0.0,0.0,0,51093,0,0,0,0,0,0
1773644517.803,184686,1147688,0,0,0,0,0,0.0,0.0,0,66202,0,0,0,0,0,0
1773644518.826,135498,1015268,0,0,0,0,0,0.0,0.0,0,76031,0,0,0,0,0,0
1773644519.852,227344,1233721,0,0,0,0,0,0.0,0.0,0,93341,0,0,0,0,0,0
1773644520.875,195879,1151856,0,0,0,0,0,0.0,0.0,0,109197,0,0,0,0,0,0
1773644521.902,169328,1034271,0,0,0,0,0,0.0,0.0,0,122814,0,0,0,0,0,0
1773644522.927,183391,1139245,0,0,0,0,0,0.0,0.0,0,135368,0,0,0,0,0,0
1773644523.951,214520,1149313,0,0,0,0,0,0.0,0.0,0,153452,0,0,0,0,0,0
1773644524.976,232445,1015798,0,0,0,0,0,0.0,0.0,0,173322,0,0,0,0,0,0
1773644525.998,176792,1167532,4,0,0,0,0,0.0,0.0,0,187050,0,0,0,0,0,0
1773644527.028,168110,1071633,0,0,0,0,0,0.0,0.0,0,201354,0,0,0,0,0,0
1773644528.050,203655,1062229,0,0,0,0,0,0.0,0.0,0,216356,0,0,0,0,0,0
1773644529.075,237475,1070178,0,0,0,0,0,0.0,0.0,0,231614,308,0,0,0,0,0
1773644530.097,205636,1032494,0,0,0,0,0,0.0,0.0,0,250055,0,0,0,0,0,0
1773644531.117,188173,1140247,0,0,0,0,0,0.0,0.0,0,265299,0,0,0,0,0,0
1773644532.144,208015,985272,0,0,0,0,0,0.0,0.0,0,283011,0,0,0,0,0,0
1773644533.167,202406,1134829,0,0,0,0,0,0.0,0.0,0,298717,0,0,0,0,0,0
1773644534.190,237740,1181156,0,0,0,0,0,0.0,0.0,0,302217,193,0,0,0,0,0
1773644535.217,301476,1019492,0,0,0,0,0,0.0,0.0,0,287150,402,0,0,0,0,0
1773644536.238,295757,1082199,0,0,0,0,0,0.0,0.0,0,266368,324,0,0,0,0,0
1773644537.272,247914,1009725,0,0,0,0,0,0.0,0.0,0,243329,351,0,0,0,0,0
1773644538.295,288424,1104544,0,0,0,0,0,0.0,0.0,0,221637,685,0,0,0,0,0
1773644539.321,306388,971045,0,0,0,0,0,0.0,0.0,0,190130,114,0,0,0,0,0
1773644540.344,217275,1067649,0,0,0,0,0,0.0,0.0,0,202938,0,0,0,0,0,0
1773644541.369,177177,1066580,4,0,0,0,0,0.0,0.0,0,216399,0,0,0,0,0,0
1773644542.400,213712,1046076,0,0,0,0,0,0.0,0.0,0,234948,0,0,0,0,0,0
1773644543.421,261746,997430,0,0,0,0,0,0.0,0.0,0,256408,0,0,0,0,0,0
1773644544.442,248611,1110750,654,0,0,0,0,0.0,0.0,0,277768,0,0,0,0,0,0
1773644545.467,192076,1037411,0,0,0,0,0,0.0,0.0,0,294283,0,0,0,0,0,0
1773644546.492,145061,1111721,0,0,0,0,0,0.0,0.0,0,306642,0,0,0,0,0,0
1773644547.523,148515,975491,0,0,0,0,0,0.0,0.0,0,313588,0,0,0,0,0,0
1773644548.546,113388,1117942,0,0,0,0,0,0.0,0.0,0,321779,0,0,0,0,0,0
1773644549.569,65608,1084785,0,0,0,0,0,0.0,0.0,0,325878,0,0,0,0,0,0
1773644550.592,68130,993995,0,0,0,0,0,0.0,0.0,0,330436,0,0,0,0,0,0
1773644551.616,87229,1134919,0,0,0,0,0,0.0,0.0,0,336216,0,0,0,0,0,0
1773644552.643,120936,956302,0,0,0,0,0,0.0,0.0,0,344833,0,0,0,0,0,0
1773644553.665,163186,1112793,0,0,0,0,0,0.0,0.0,0,357440,0,0,0,0,0,0
1773644554.690,201894,1006443,0,0,0,0,0,0.0,0.0,0,372451,0,0,0,0,0,0
1773644555.715,168580,1037256,0,0,0,0,0,0.0,0.0,0,385238,0,0,0,0,0,0
1773644556.741,137661,1134979,0,0,0,0,0,0.0,0.0,0,394620,0,0,0,0,0,0
1773644557.774,117262,893234,0,0,0,0,0,0.0,0.0,0,402945,0,0,0,0,0,0
1773644558.797,114804,1123464,0,0,0,0,0,0.0,0.0,0,409913,0,0,0,0,0,0
1773644559.820,168735,1090492,0,0,0,0,0,0.0,0.0,0,422298,0,0,0,0,0,0
1773644560.844,215679,963495,0,0,0,0,0,0.0,0.0,0,402689,113,0,0,0,0,0
1773644561.868,147550,1115948,0,0,0,0,0,0.0,0.0,0,412334,0,0,0,0,0,0
1773644562.899,148230,998813,0,0,0,0,0,0.0,0.0,0,423800,0,0,0,0,0,0
1773644563.924,204315,1089227,0,0,0,0,0,0.0,0.0,0,440884,0,0,0,0,0,0
1773644564.947,162599,1079823,0,0,0,0,0,0.0,0.0,0,452827,0,0,0,0,0,0
1773644565.977,222246,1004210,0,0,0,0,0,0.0,0.0,0,470573,0,0,0,0,0,0
1773644566.999,249311,1093738,0,0,0,0,0,0.0,0.0,0,451268,539,0,0,0,0,0
1773644568.027,254638,976547,0,0,0,0,0,0.0,0.0,0,426029,464,0,0,0,0,0
1773644569.048,304347,1079652,165,0,0,0,0,0.0,0.0,0,405019,1003,0,0,0,0,0
1773644570.066,300262,929714,0,0,0,0,0,0.0,0.0,0,366991,222,0,0,0,0,0
1773644571.086,241593,1067555,0,0,0,0,0,0.0,0.0,0,388652,0,0,0,0,0,0
1773644572.104,268671,947631,12,0,0,0,0,0.0,0.0,0,407837,0,0,0,0,0,0
1773644573.130,186221,1064409,0,0,0,0,0,0.0,0.0,0,422326,0,0,0,0,0,0
1773644574.151,167958,1022744,26,0,0,0,0,0.0,0.0,0,434936,0,0,0,0,0,0
1773644575.170,153400,1122302,0,0,0,0,0,0.0,0.0,0,446980,0,0,0,0,0,0
1773644576.194,199702,944749,11,0,0,0,0,0.0,0.0,0,424807,639,0,0,0,0,0
1773644577.216,246202,1146395,229,0,0,0,0,0.0,0.0,0,396683,369,0,0,0,0,0
1773644578.242,238966,963088,0,0,0,0,0,0.0,0.0,0,366408,657,0,0,0,0,0
1773644579.260,187183,1130254,1,0,0,0,0,0.0,0.0,0,376835,0,0,0,0,0,0
1773644580.285,162371,973145,0,0,0,0,0,0.0,0.0,0,389149,0,0,0,0,0,0
1773644581.309,136858,1075770,0,0,0,0,0,0.0,0.0,0,397631,0,0,0,0,0,0
1773644582.335,86005,1082438,0,0,0,0,0,0.0,0.0,0,401669,0,0,0,0,0,0
1773644583.368,131234,960553,0,0,0,0,0,0.0,0.0,0,407645,0,0,0,0,0,0
1773644584.393,208652,1118942,0,0,0,0,0,0.0,0.0,0,378191,448,0,0,0,0,0
1773644585.420,175416,938963,0,0,0,0,0,0.0,0.0,0,369972,156,0,0,0,0,0
1773644586.445,123975,1099790,0,0,0,0,0,0.0,0.0,0,376083,0,0,0,0,0,0
1773644587.470,44432,983102,65,0,0,0,0,0.0,0.0,0,378033,0,0,0,0,0,0
1773644588.500,16048,1062433,0,0,0,0,0,0.0,0.0,0,378061,0,0,0,0,0,0
1773644589.525,16364,1126207,20,0,0,0,0,0.0,0.0,0,378102,0,0,0,0,0,0
1773644590.555,53563,1125071,3,0,0,0,0,0.0,0.0,0,363918,967,0,0,0,0,0
1773644591.583,132982,1091374,0,0,0,0,0,0.0,0.0,0,329632,896,0,0,0,0,0
1773644592.609,62314,999659,1,0,0,0,0,0.0,0.0,0,321031,112,0,0,0,0,0
1773644593.639,51180,873752,0,0,0,0,0,0.0,0.0,0,324235,0,0,0,0,0,0
1773644594.661,190598,976366,25,0,0,0,0,0.0,0.0,0,338710,0,0,0,0,0,0
1773644595.684,173159,1023064,0,0,0,0,0,0.0,0.0,0,350601,0,0,0,0,0,0
1773644596.712,169143,989779,0,0,0,0,0,0.0,0.0,0,361531,0,0,0,0,0,0
1773644597.737,155797,748365,0,0,0,0,0,0.0,0.0,0,353015,836,0,0,0,0,0
1773644598.768,160963,546882,7,0,0,0,0,0.0,0.0,0,318592,547,0,0,0,0,0
1773644599.792,187357,613439,6,0,0,0,0,0.0,0.0,0,267231,647,0,0,0,0,0
1773644600.816,197837,843211,1,0,0,0,0,0.0,0.0,0,246453,0,0,0,0,0,0
1773644601.840,191266,1108052,0,0,0,0,0,0.0,0.0,0,263809,0,0,0,0,0,0
1773644602.863,227638,1014979,0,0,0,0,0,0.0,0.0,0,280437,0,0,0,0,0,0
1773644603.895,236430,1022065,0,0,0,0,0,0.0,0.0,0,297429,0,0,0,0,0,0
1773644604.920,240160,950861,0,0,0,0,0,0.0,0.0,0,313833,0,0,0,0,0,0
1773644605.943,268565,1073378,0,0,0,0,0,0.0,0.0,0,333595,0,0,0,0,0,0
1773644606.967,301001,904558,0,0,0,0,0,0.0,0.0,0,316047,1008,0,0,0,0,0
1773644607.991,295694,1103917,0,0,0,0,0,0.0,0.0,0,295199,787,0,0,0,0,0
1773644609.022,166141,887107,0,0,0,0,0,0.0,0.0,0,268123,127,0,0,0,0,0
1773644610.044,174708,1098950,0,0,0,0,0,0.0,0.0,0,281346,0,0,0,0,0,0
1773644611.067,265286,946914,0,0,0,0,0,0.0,0.0,0,299515,0,0,0,0,0,0
1773644612.091,164997,1089231,0,0,0,0,0,0.0,0.0,0,311641,0,0,0,0,0,0
1773644613.116,262739,930438,0,0,0,0,0,0.0,0.0,0,331885,0,0,0,0,0,0
1773644614.148,250713,1060531,1,0,0,0,0,0.0,0.0,0,348861,0,0,0,0,0,0
1773644615.172,280066,866667,0,0,0,0,0,0.0,0.0,0,328176,477,0,0,0,0,0
1773644616.198,238066,1067273,0,0,0,0,0,0.0,0.0,0,334096,0,0,0,0,0,0
1773644617.221,162241,958413,0,0,0,0,0,0.0,0.0,0,346081,0,0,0,0,0,0
1773644618.247,125750,1073148,0,0,0,0,0,0.0,0.0,0,353423,0,0,0,0,0,0
1773644619.279,137921,949578,0,0,0,0,0,0.0,0.0,0,362889,0,0,0,0,0,0
1773644620.306,65186,1103356,0,0,0,0,0,0.0,0.0,0,366025,0,0,0,0,0,0
1773644621.331,91042,930052,0,0,0,0,0,0.0,0.0,0,360336,0,0,0,0,0,0
1773644622.353,147264,1095821,0,0,0,0,0,0.0,0.0,0,371039,0,0,0,0,0,0
1773644623.375,121478,911333,0,0,0,0,0,0.0,0.0,0,379214,0,0,0,0,0,0
1773644624.404,144862,1083052,7,0,0,0,0,0.0,0.0,0,389077,0,0,0,0,0,0
1773644625.431,186532,955271,0,0,0,0,0,0.0,0.0,0,393463,18,0,0,0,0,0
1773644626.456,237969,1097952,0,0,0,0,0,0.0,0.0,0,367389,89,0,0,0,0,0
1773644627.482,240022,950801,0,0,0,0,0,0.0,0.0,0,343405,1,0,0,0,0,0
1773644628.507,204130,1093670,0,0,0,0,0,0.0,0.0,0,315064,0,0,0,0,0,0
1773644629.538,248967,935794,0,0,0,0,0,0.0,0.0,0,289155,0,0,0,0,0,0
1773644630.564,254581,1136092,0,0,0,0,0,0.0,0.0,0,239528,249,0,0,0,0,0
1773644631.592,150412,932637,0,0,0,0,0,0.0,0.0,0,200570,165,0,0,0,0,0
1773644632.616,133746,1118891,0,0,0,0,0,0.0,0.0,0,170738,0,0,0,0,0,0
1773644633.640,132611,857981,0,0,0,0,0,0.0,0.0,0,139477,99,0,0,0,0,0
1773644634.670,175917,723808,0,0,0,0,0,0.0,0.0,0,110788,263,0,0,0,0,0
1773644635.694,136096,603152,0,0,0,0,0,0.0,0.0,0,101982,0,0,0,0,0,0
1773644636.719,158543,941952,0,0,0,0,0,0.0,0.0,0,114513,0,0,0,0,0,0
1773644637.743,192355,923132,0,0,0,0,0,0.0,0.0,0,128076,0,0,0,0,0,0
1773644638.765,218462,1093343,0,0,0,0,0,0.0,0.0,0,144728,0,0,0,0,0,0
1773644639.798,221478,921102,0,0,0,0,0,0.0,0.0,0,157016,0,0,0,0,0,0
1773644640.824,257657,1097825,0,0,0,0,0,0.0,0.0,0,175944,0,0,0,0,0,0
1773644641.849,177685,902820,0,0,0,0,0,0.0,0.0,0,187976,0,0,0,0,0,0
1773644642.873,182887,1095815,0,0,0,0,0,0.0,0.0,0,201592,0,0,0,0,0,0
1773644643.899,214750,969585,0,0,0,0,0,0.0,0.0,0,216851,0,0,0,0,0,0
1773644644.933,192084,1090596,0,0,0,0,0,0.0,0.0,0,230492,4,0,0,0,0,0
1773644645.956,90405,944569,0,0,0,0,0,0.0,0.0,0,236950,0,0,0,0,0,0
1773644646.980,11587,1105906,0,0,0,0,0,0.0,0.0,0,236954,0,0,0,0,0,0
1773644648.004,11290,982366,0,0,0,0,0,0.0,0.0,0,236957,0,0,0,0,0,0
1773644649.027,9914,6851,0,0,0,0,0,0.0,0.0,0,236958,0,0,0,0,0,0
1773644650.056,9309,8144,0,0,0,0,0,0.0,0.0,0,237018,4,0,0,0,0,0
1773644651.078,7638,3888,0,0,0,0,0,0.0,0.0,0,237022,0,0,0,0,0,0
1773644652.098,7349,8154,0,0,0,0,0,0.0,0.0,0,236998,0,0,0,0,0,0
1773644653.119,7577,3870,0,0,0,0,0,0.0,0.0,0,236989,1,0,0,0,0,0
1773644654.140,7574,3864,0,0,0,0,0,0.0,0.0,0,236993,0,0,0,0,0,0
1773644655.166,10339,8080,0,0,0,0,0,0.0,0.0,0,237001,0,0,0,0,0,0
1773644656.185,11074,3878,0,0,0,0,0,0.0,0.0,0,236981,0,0,0,0,0,0
1773644657.205,9013,3866,0,0,0,0,0,0.0,0.0,0,236993,0,0,0,0,0,0
1773644658.225,49313,8164,0,0,0,0,0,0.0,0.0,0,207514,0,0,0,0,0,0
1773644659.245,8935,3866,0,0,0,0,0,0.0,0.0,0,207285,228,0,0,0,0,0
1773644660.272,9586,3836,0,0,0,0,0,0.0,0.0,0,207194,0,0,0,0,0,0
1773644661.293,25566,8163,0,0,0,0,0,0.0,0.0,0,186998,0,0,0,0,0,0
1773644662.314,9429,3869,0,0,0,0,0,0.0,0.0,0,187000,0,0,0,0,0,0
1773644663.333,9612,3912,0,0,0,0,0,0.0,0.0,0,187002,0,0,0,0,0,0
1773644664.352,53287,8189,0,0,0,0,0,0.0,0.0,0,150920,593,0,0,0,0,0
1773644665.378,22800,3852,0,0,0,0,0,0.0,0.0,0,142234,0,0,0,0,0,0
1773644666.398,8413,3862,0,0,0,0,0,0.0,0.0,0,142240,0,0,0,0,0,0
1773644667.418,8803,8138,0,0,0,0,0,0.0,0.0,0,142251,0,0,0,0,0,0
1773644668.437,8969,3876,0,0,0,0,0,0.0,0.0,0,142256,0,0,0,0,0,0
1773644669.456,8459,3901,0,0,0,0,0,0.0,0.0,0,142258,0,0,0,0,0,0
1773644670.480,30122,8166,0,0,0,0,0,0.0,0.0,0,123719,926,0,0,0,0,0
1773644671.501,56485,3883,0,0,0,0,0,0.0,0.0,0,84503,948,0,0,0,0,0
1773644672.522,55837,3863,0,0,0,0,0,0.0,0.0,0,46473,899,0,0,0,0,0
1773644673.542,17644,37218,15,0,0,0,0,0.0,0.0,0,43500,0,0,0,0,0,0
1773644674.561,13144,10091,1,0,0,0,0,0.0,0.0,0,47391,0,0,0,0,0,0
1773644675.587,16028,14884,0,0,0,0,0,0.0,0.0,0,47234,0,0,0,0,0,0
1773644676.609,9495,25081,9,0,0,0,0,0.0,0.0,0,47361,0,0,0,0,0,0
1773644677.631,9826,25889,0,0,0,0,0,0.0,0.0,0,83798,0,0,0,0,0,0
1773644678.653,53805,10956,0,0,0,0,0,0.0,0.0,0,49843,388,0,0,0,0,0
1773644679.675,15520,8197,0,0,0,0,0,0.0,0.0,0,47054,0,0,0,0,0,0
1773644680.703,9177,5064,2,0,0,0,0,0.0,0.0,0,47055,0,0,0,0,0,0
1773644681.724,8852,3947,0,0,0,0,0,0.0,0.0,0,47055,0,0,0,0,0,0
1773644682.745,9827,9159,0,0,0,0,0,0.0,0.0,0,47033,0,0,0,0,0,0
1773644683.765,8728,4839,0,0,0,0,0,0.0,0.0,0,47037,0,0,0,0,0,0
1773644684.786,11808,3867,0,0,0,0,0,0.0,0.0,0,47049,0,0,0,0,0,0
1773644685.814,9766,35657,1,0,0,0,0,0.0,0.0,0,47059,0,0,0,0,0,0
1773644686.836,9610,3862,0,0,0,0,0,0.0,0.0,0,46889,0,0,0,0,0,0
1773644687.856,8932,14723,0,0,0,0,0,0.0,0.0,0,46934,0,0,0,0,0,0
1773644688.879,23609,73718,387,0,0,0,0,0.0,0.0,0,47306,0,0,0,0,0,0
1773644689.907,22609,148864,215,0,0,0,0,0.0,0.0,0,63824,0,0,0,0,0,0
1773644690.930,19911,4718,35,0,0,0,0,0.0,0.0,0,63692,0,0,0,0,0,0
1773644691.947,26279,14438,0,0,0,0,0,0.0,0.0,0,63693,0,0,0,0,0,0
1773644692.964,28984,4071,0,0,0,0,0,0.0,0.0,0,63695,0,0,0,0,0,0
1773644693.981,36909,50565,195,0,0,0,0,0.0,0.0,0,63717,0,0,0,0,0,0
1773644695.001,43211,18863,25,0,0,0,0,0.0,0.0,0,58168,10,0,0,0,0,0
1773644696.025,22330,29913,2,0,0,0,0,0.0,0.0,0,58199,0,0,0,0,0,0
1773644697.042,27675,3878,0,0,0,0,0,0.0,0.0,0,58202,0,0,0,0,0,0
1773644698.060,19894,8199,0,0,0,0,0,0.0,0.0,0,58206,0,0,0,0,0,0
1773644699.077,44216,54934,36,0,0,0,0,0.0,0.0,0,58272,0,0,0,0,0,0
1773644700.093,43945,48572,0,0,0,0,0,0.0,0.0,0,58176,101,0,0,0,0,0
1773644701.115,34715,29272,7,0,0,0,0,0.0,0.0,0,58377,0,0,0,0,0,0
1773644702.132,32789,126237,849,0,0,0,0,0.0,0.0,0,58986,0,0,0,0,0,0
1773644703.151,30118,82418,44,0,0,0,0,0.0,0.0,0,58892,0,0,0,0,0,0
1773644704.170,27270,32293,24,0,0,0,0,0.0,0.0,0,54373,0,0,0,0,0,0
1773644705.188,25686,241618,19,0,0,0,0,0.0,0.0,0,54437,0,0,0,0,0,0
1773644706.212,48816,91707,104,113963,0,108294,0,0.0,0.0,0,59205,0,0,0,0,24,0
1773644707.230,22965,69255,2,0,0,0,0,0.0,0.0,0,59224,0,0,0,0,0,0
1773644708.247,21201,3878,0,0,0,0,0,0.0,0.0,0,59226,0,0,0,0,0,0
1773644709.264,22882,8191,5,0,0,0,0,0.0,0.0,0,22816,0,0,0,0,30,0
1773644710.280,25795,3888,0,0,0,0,0,0.0,0.0,0,22898,0,0,0,0,0,0
1773644711.304,31197,3865,0,0,0,0,0,0.0,0.0,0,22908,0,0,0,0,0,0
1773644712.321,21519,8157,0,0,0,0,0,0.0,0.0,0,22926,0,0,0,0,0,0
1773644713.338,21194,3886,0,0,0,0,0,0.0,0.0,0,22917,0,0,0,0,0,0
1773644714.355,21075,3878,0,0,0,0,0,0.0,0.0,0,22919,0,0,0,0,0,0
1773644715.372,32550,36193,40,0,0,0,0,0.0,0.0,0,22950,0,0,0,0,0,0
1773644716.395,46031,39630,0,0,0,0,0,0.0,0.0,0,37599,0,0,0,0,0,0
1773644717.413,33728,5167,0,0,0,0,0,0.0,0.0,0,37620,0,0,0,0,0,0
1773644718.430,35043,10921,3,0,0,0,0,0.0,0.0,0,37628,0,0,0,0,0,0
1773644719.448,32609,3991,0,0,0,0,0,0.0,0.0,0,37630,0,0,0,0,0,0
1773644720.466,34107,3933,0,0,0,0,0,0.0,0.0,0,21008,176,0,0,0,0,0
1773644721.489,31499,8171,0,0,0,0,0,0.0,0.0,0,20988,0,0,0,0,0,0
1773644722.507,32320,3909,0,0,0,0,0,0.0,0.0,0,20990,0,0,0,0,0,0
1773644723.524,31692,3892,0,0,0,0,0,0.0,0.0,0,20991,0,0,0,0,0,0
1773644724.541,32222,8238,0,0,0,0,0,0.0,0.0,0,20996,0,0,0,0,0,0
1773644725.557,32350,3890,0,0,0,0,0,0.0,0.0,0,20947,17,0,0,0,0,0
1773644726.582,49333,3864,0,0,0,0,0,0.0,0.0,0,20385,53,0,0,0,0,0
1773644727.599,31824,8177,0,0,0,0,0,0.0,0.0,0,20385,0,0,0,0,0,0
1773644728.616,33685,3979,0,0,0,0,0,0.0,0.0,0,20389,0,0,0,0,0,0
1773644729.634,34624,34940,46,0,0,0,0,0.0,0.0,0,20391,0,0,0,0,0,0
1773644730.651,33986,8329,0,0,0,0,0,0.0,0.0,0,20392,0,0,0,0,0,0
1773644731.675,35085,4067,0,0,0,0,0,0.0,0.0,0,20427,0,0,0,0,0,0
1773644732.692,33199,24586,9,0,0,0,0,0.0,0.0,0,20429,0,0,0,0,0,0
1773644733.709,33541,8213,4,0,0,0,0,0.0,0.0,0,20430,0,0,0,0,0,0
1773644734.726,35206,4703,0,0,0,0,0,0.0,0.0,0,20435,0,0,0,0,0,0
1773644735.743,33867,4134,0,0,0,0,0,0.0,0.0,0,19819,0,0,0,0,0,0
1773644736.765,34563,8159,0,0,0,0,0,0.0,0.0,0,19780,0,0,0,0,35,0
1773644737.784,35019,3883,0,0,0,0,0,0.0,0.0,0,19782,0,0,0,0,0,0
1773644738.802,33094,3891,0,0,0,0,0,0.0,0.0,0,19806,0,0,0,0,0,0
1773644739.818,33213,8239,0,0,0,0,0,0.0,0.0,0,19886,0,0,0,0,0,0
1773644740.836,32059,3902,0,0,0,0,0,0.0,0.0,0,15192,0,0,0,0,0,0
1773644741.860,31060,3864,0,0,0,0,0,0.0,0.0,0,15184,0,0,0,0,0,0
1773644742.878,33101,22359,26,0,0,0,0,0.0,0.0,0,15186,0,0,0,0,0,0
1773644743.893,34097,3902,0,0,0,0,0,0.0,0.0,0,15160,0,0,0,0,0,0
1773644744.912,43679,3920,2,0,0,0,0,0.0,0.0,0,15218,0,0,0,0,0,0
1773644745.929,32154,8208,0,0,0,0,0,0.0,0.0,0,15216,0,0,0,0,0,0
1773644746.954,32091,3872,0,0,0,0,0,0.0,0.0,0,15217,0,0,0,0,0,0
1773644747.971,32421,4785,1,0,0,0,0,0.0,0.0,0,15234,0,0,0,0,0,0
1773644748.989,31892,12894,0,0,0,0,0,0.0,0.0,0,15237,0,0,0,0,0,0
1773644750.007,41567,6181,2,0,0,0,0,0.0,0.0,0,14955,93,0,0,0,4,0
1773644751.024,32357,24532,0,0,0,0,0,0.0,0.0,0,714,0,0,0,0,0,0
1773644752.048,34721,29184,0,0,0,0,0,0.0,0.0,0,716,0,0,0,0,0,0
1773644753.066,36681,14745,7,0,0,0,0,0.0,0.0,0,718,0,0,0,0,0,0
1773644754.084,33049,3893,0,0,0,0,0,0.0,0.0,0,722,0,0,0,0,0,0
1773644755.101,32965,8231,0,0,0,0,0,0.0,0.0,0,738,0,0,0,0,0,0
1773644756.118,32403,3880,0,0,0,0,0,0.0,0.0,0,740,0,0,0,0,0,0
1773644757.142,33782,8109,0,0,0,0,0,0.0,0.0,0,741,0,0,0,0,0,0
